iter	Passed	Remaining
470	601	675
471	602	673
472	603	672
473	603	670
474	605	668
475	606	667
476	607	665
477	608	664
478	609	662
479	610	661
480	611	659
481	612	657
482	612	656
483	613	654
484	614	652
485	615	651
486	616	649
487	617	648
488	619	647
489	620	645
490	621	644
491	622	642
492	623	641
493	624	639
494	625	637
495	625	635
496	626	634
497	627	632
498	628	630
499	628	628
500	629	627
501	630	625
502	631	624
503	632	622
504	633	620
505	634	619
506	635	618
507	636	616
508	638	615
509	639	614
510	640	612
511	641	611
512	642	609
513	643	608
514	643	606
515	644	604
516	645	602
517	646	601
518	647	599
519	648	598
520	649	597
521	650	595
522	651	594
523	652	592
524	653	590
525	653	589
526	654	587
527	655	585
528	656	584
529	657	582
530	657	581
531	658	579
532	659	577
533	660	576
534	660	574
535	662	573
536	663	572
537	664	570
538	665	569
539	666	567
540	667	566
541	668	564
542	669	563
543	670	562
544	671	560
545	672	559
546	673	557
547	673	555
548	674	554
549	675	553
550	677	551
551	678	550
552	679	549
553	680	548
554	681	546
555	682	545
556	683	543
557	684	541
558	684	540
559	685	538
560	686	537
561	687	535
562	688	534
563	689	532
564	690	531
565	691	530
566	693	529
567	694	527
568	694	526
569	695	524
570	696	523
571	697	521
572	698	520
573	698	518
574	699	517
575	700	515
576	701	514
577	702	512
578	703	511
579	704	509
580	705	508
581	707	507
582	707	506
583	708	504
584	709	503
585	710	501
586	710	500
587	712	498
588	712	497
589	713	495
590	714	494
591	715	492
592	715	491
593	716	489
594	717	488
595	719	487
596	723	488
597	724	487
598	725	485
599	726	484
600	727	482
601	727	481
602	728	479
603	729	478
604	730	476
605	731	475
606	732	473
607	732	472
608	734	471
609	735	470
610	736	468
611	737	467
612	738	466
613	739	464
614	739	463
615	740	461
616	741	460
617	742	458
618	742	457
619	743	455
620	744	454
621	745	453
622	746	451
623	748	451
624	750	450
625	751	448
626	752	447
627	753	446
628	754	445
629	755	443
630	756	442
631	757	440
632	758	439
633	759	438
634	760	436
635	761	435
636	762	434
637	763	433
638	764	431
639	765	430
640	766	429
641	767	427
642	768	426
643	769	425
644	769	423
645	770	422
646	771	420
647	772	419
648	773	418
649	773	416
650	774	415
651	775	414
652	776	412
653	778	411
654	778	410
655	779	408
656	780	407
657	781	406
658	781	404
659	782	403
660	783	401
661	784	400
662	784	399
663	785	397
664	786	396
665	787	394
666	788	393
667	789	392
668	790	391
669	791	389
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	796	381
676	797	380
677	798	379
678	799	377
679	800	376
680	800	375
681	803	374
682	804	373
683	808	373
684	809	372
685	810	370
686	811	369
687	814	369
688	819	369
689	822	369
690	823	368
691	827	368
692	828	367
693	833	367
694	834	366
695	835	364
696	836	363
697	837	362
698	838	361
699	839	359
700	840	358
701	841	357
702	842	356
703	844	354
704	845	353
705	846	352
706	848	351
707	849	350
708	850	349
709	851	347
710	852	346
711	860	348
712	861	346
713	863	345
714	864	344
715	866	343
716	867	342
717	868	341
718	869	339
719	870	338
720	873	337
721	874	336
722	875	335
723	877	334
724	878	333
725	879	331
726	881	330
727	882	329
728	884	328
729	885	327
730	888	327
731	890	326
732	891	324
733	892	323
734	893	322
735	894	320
736	895	319
737	902	320
738	906	320
739	907	318
740	909	317
741	911	316
742	912	315
743	913	314
744	914	312
745	915	311
746	916	310
747	917	309
748	919	308
749	920	306
750	921	305
751	922	304
752	923	302
753	924	301
754	925	300
755	925	298
756	926	297
757	927	296
758	928	294
759	929	293
760	931	292
761	933	291
762	934	290
763	935	288
764	936	287
765	936	286
766	937	284
767	938	283
768	939	282
769	940	280
770	941	279
771	942	278
772	943	277
773	945	275
774	947	274
775	948	273
776	949	272
777	950	271
778	951	269
779	952	268
780	953	267
781	954	266
782	955	264
783	955	263
784	957	262
785	959	261
786	960	260
787	961	258
788	962	257
789	963	256
790	964	254
791	965	253
792	966	252
793	966	250
794	967	249
795	968	248
796	969	246
797	970	245
798	970	244
799	971	242
800	972	241
801	974	240
802	975	239
803	976	237
804	976	236
805	977	235
806	978	234
807	979	232
808	980	231
809	981	230
810	982	229
811	983	227
812	984	226
813	985	225
814	986	223
815	987	222
816	988	221
817	989	220
818	991	219
819	992	217
820	992	216
821	993	215
822	994	213
823	995	212
824	996	211
825	997	210
826	998	208
827	999	207
828	1001	206
829	1002	205
830	1003	204
831	1004	202
832	1005	201
833	1006	200
834	1006	198
835	1007	197
836	1008	196
837	1009	195
838	1010	193
839	1011	192
840	1011	191
841	1012	190
842	1013	188
843	1014	187
844	1016	186
845	1017	185
846	1018	183
847	1019	182
848	1020	181
849	1020	180
850	1022	178
851	1022	177
852	1023	176
853	1024	175
854	1025	173
855	1027	172
856	1028	171
857	1030	170
858	1031	169
859	1032	168
860	1033	166
861	1034	165
862	1035	164
863	1036	163
864	1037	161
865	1037	160
866	1038	159
867	1039	158
868	1040	156
869	1041	155
870	1042	154
871	1044	153
872	1045	152
873	1047	150
874	1048	149
875	1049	148
876	1050	147
877	1050	146
878	1051	144
879	1052	143
880	1053	142
881	1054	141
882	1055	139
883	1056	138
884	1056	137
885	1057	136
886	1059	134
887	1060	133
888	1061	132
889	1062	131
890	1063	130
891	1064	128
892	1064	127
893	1065	126
894	1066	125
895	1067	123
896	1068	122
897	1069	121
898	1070	120
899	1071	119
900	1072	117
901	1073	116
902	1074	115
903	1075	114
904	1076	113
905	1077	111
906	1078	110
907	1079	109
908	1079	108
909	1080	106
910	1081	105
911	1082	104
912	1083	103
913	1084	102
914	1085	100
915	1087	99
916	1088	98
917	1090	97
918	1090	96
919	1091	94
920	1092	93
921	1093	92
922	1094	91
923	1095	90
924	1096	88
925	1097	87
926	1098	86
927	1098	85
928	1099	84
929	1101	82
930	1102	81
931	1103	80
932	1104	79
933	1105	78
934	1106	76
935	1107	75
936	1108	74
937	1108	73
938	1109	72
939	1110	70
940	1111	69
941	1112	68
942	1112	67
943	1113	66
944	1114	64
945	1116	63
946	1117	62
947	1118	61
948	1119	60
949	1120	58
950	1121	57
951	1122	56
952	1123	55
953	1123	54
954	1124	53
955	1125	51
956	1126	50
957	1128	49
958	1129	48
959	1130	47
960	1131	45
961	1132	44
962	1133	43
963	1134	42
964	1134	41
965	1135	39
966	1136	38
967	1137	37
968	1138	36
969	1138	35
970	1139	34
971	1140	32
972	1141	31
973	1142	30
974	1143	29
975	1144	28
976	1145	26
977	1145	25
978	1146	24
979	1147	23
980	1148	22
981	1149	21
982	1150	19
983	1151	18
984	1152	17
985	1152	16
986	1153	15
987	1154	14
988	1155	12
989	1156	11
990	1157	10
991	1158	9
992	1160	8
993	1160	7
994	1161	5
995	1162	4
996	1163	3
997	1164	2
998	1165	1
999	1166	0
